Twiddle,Step,Kp,Ki,Kd,angle,cte,d_error,i_error,
0,0,0.140427,0,2.8306,-0.3051,0.2397,0.0144,114.034,
0,0,0.140427,0,2.8306,-1.3747,0.2531,0.0141,114.274,
0,0,0.140427,0,2.8306,-1.403,0.2659,0.0134,114.527,
0,0,0.140427,0,2.8306,-1.4005,0.2778,0.0128,114.793,
0,0,0.140427,0,2.8306,-1.4005,0.2778,0.0119,115.071,
0,0,0.140427,0,2.8306,-1.381,0.2889,0,115.348,
0,0,0.140427,0,2.8306,-0.5389,0.2994,0.0111,115.637,
0,0,0.140427,0,2.8306,-1.3634,0.3177,0.0105,115.937,
0,0,0.140427,0,2.8306,-1.3578,0.3254,0.0183,116.254,
0,0,0.140427,0,2.8306,-1.974,0.3318,0.0077,116.58,
0,0,0.140427,0,2.8306,-1.2509,0.3371,0.0064,116.912,
0,0,0.140427,0,2.8306,-1.1814,0.3413,0.0053,117.249,
0,0,0.140427,0,2.8306,-1.1222,0.3444,0.0042,117.59,
0,0,0.140427,0,2.8306,-1.1222,0.3444,0.0031,117.934,
0,0,0.140427,0,2.8306,-0.9921,0.3463,0,118.279,
0,0,0.140427,0,2.8306,-0.7727,0.3472,0.0019,118.625,
0,0,0.140427,0,2.8306,-0.9139,0.3469,0.0009,118.972,
0,0,0.140427,0,2.8306,-0.9139,0.3469,-0.0003,119.319,
0,0,0.140427,0,2.8306,-0.7603,0.3455,0,119.666,
0,0,0.140427,0,2.8306,-0.7815,0.343,-0.0014,120.012,
0,0,0.140427,0,2.8306,-0.6775,0.3394,-0.0025,120.355,
0,0,0.140427,0,2.8306,-0.5909,0.3348,-0.0036,120.694,
0,0,0.140427,0,2.8306,-0.5004,0.3291,-0.0046,121.029,
0,0,0.140427,0,2.8306,-0.4135,0.3223,-0.0057,121.358,
0,0,0.140427,0,2.8306,-0.3157,0.3146,-0.0068,121.68,
0,0,0.140427,0,2.8306,-0.3157,0.3146,-0.0077,121.995,
0,0,0.140427,0,2.8306,-0.1232,0.306,0,122.309,
0,0,0.140427,0,2.8306,-0.6681,0.2964,-0.0086,122.615,
0,0,0.140427,0,2.8306,-0.0294,0.2859,-0.0096,122.912,
0,0,0.140427,0,2.8306,0.0751,0.2746,-0.0105,123.198,
0,0,0.140427,0,2.8306,0.1757,0.2626,-0.0113,123.472,
0,0,0.140427,0,2.8306,0.1757,0.2626,-0.012,123.735,
0,0,0.140427,0,2.8306,0.3636,0.2499,0,123.998,
0,0,0.140427,0,2.8306,-0.4856,0.2365,-0.0127,124.247,
0,0,0.140427,0,2.8306,0.4577,0.2224,-0.0134,124.484,
0,0,0.140427,0,2.8306,0.5543,0.208,-0.0141,124.706,
0,0,0.140427,0,2.8306,0.6533,0.1931,-0.0144,124.914,
0,0,0.140427,0,2.8306,0.6533,0.1931,-0.0149,125.107,
0,0,0.140427,0,2.8306,0.8128,0.1785,0,125.301,
0,0,0.140427,0,2.8306,-0.2416,0.1689,-0.0146,125.479,
0,0,0.140427,0,2.8306,0.8428,0.1646,-0.0096,125.648,
0,0,0.140427,0,2.8306,0.8428,0.1646,-0.0043,125.813,
0,0,0.140427,0,2.8306,0.1628,0.1638,0,125.977,
0,0,0.140427,0,2.8306,-0.1415,0.1686,-0.0008,126.141,
0,0,0.140427,0,2.8306,-0.0821,0.1755,0.0048,126.31,
0,0,0.140427,0,2.8306,-0.4952,0.1821,0.0069,126.485,
0,0,0.140427,0,2.8306,-0.6681,0.1881,0.0066,126.667,
0,0,0.140427,0,2.8306,-0.67,0.1935,0.006,126.855,
0,0,0.140427,0,2.8306,-0.67,0.1935,0.0054,127.049,
